,iso_a3,cropname,whichlag,r2,avg_gdp,flag_sum,total_harvarea,cropland_fraction,avg_sm,avg_tmax
1341,SAU,"Groundnuts, with shell",yield_lead,0.19564727679229657,22616.177729271043,21.0,0.3621824972017293,0.0592280531177238,0.09505750159326605,39.0150681190056
1342,SAU,Maize,yield_lead,0.12907954694749876,22616.177729271043,4.0,1.832212376545499,0.0333245817560141,0.10802292143760574,34.088119382395455
1343,SAU,Millet,yield_lead,0.0016750727559190915,22616.177729271043,0.0,2.5658712488484525,0.0591856036399887,0.09944942270638803,33.12270262483561
1344,SAU,Potatoes,yield_lag,0.07020635049126825,22616.177729271043,0.0,5.759504397256023,0.0615480192561116,0.10354587665752561,33.942677547010234
1345,SAU,Pulses nes,yield_lead,0.43453751325607537,22616.177729271043,21.0,1.597023370703937,0.0591856036399887,0.09168808681990498,39.893183948703665
1346,SAU,Sorghum,yield_lag,0.526879296871217,22616.177729271043,0.0,27.31845774547162,0.0364077305563373,0.15737793441590917,32.604645280115996
1347,SAU,Wheat,yield_log_dt,0.1472312364615506,22616.177729271043,0.0,165.10091935933724,0.0605997064374082,0.11336921917146003,32.92494054041805
1348,SDN,"Groundnuts, with shell",yield_log_dt,0.03228006734839929,947.1428362528484,0.0,325.5651633642815,0.1084057063582679,0.2133068521428841,33.39923215622214
1349,SDN,Maize,yield_lag,0.07701822265801375,947.1428362528484,1.0,15.49406432084379,0.1086318290252112,0.2040547168643895,34.43147318905383
1350,SDN,Millet,yield_log_dt,0.025303914404506946,947.1428362528484,0.0,801.8776673620823,0.1098401870109759,0.19205378291106634,33.04442129988171
1351,SDN,Potatoes,yield_lead,0.003590695459891277,947.1428362528484,0.0,0.4343329045307627,0.1086318290252112,0.23757243855496935,32.635386160504375
1352,SDN,Pulses nes,yield_log_dt,0.046751890253868104,947.1428362528484,9.0,17.56796269586357,0.1086318290252112,0.20277091909387202,34.42422743707667
1353,SDN,"Rice, paddy",yield_lag,0.10031531706507116,947.1428362528484,0.0,1.1318730846400058,0.1083934681525768,0.2019390291260651,32.970320492672606
1354,SDN,Seed cotton,yield_lag,0.1612716950338807,947.1428362528484,2.0,37.98528725679717,0.108455412838625,0.1964841808985404,33.153986383586876
1355,SDN,Sorghum,yield_log_dt,0.04956606284405408,947.1428362528484,2.0,1477.971710104779,0.1088070404812928,0.2438169948911194,33.999502325969175
