cropname,country,r2,adj_r2,ftest_pval,coef_sm_dt,coef_tmax_dt,pval_sm_dt,pval_tmax_dt,model,pval_sm_dt_pass,pval_tmax_dt_pass,ftest_pval_pass
Wheat,Latvia,0.18880145507684398,0.1115444507984481,0.11113099717820768,-4.2661544721434215,-0.026713064790236586,0.04088866491260292,0.20037824261580378,Satellite,True,False,False
Wheat,Lebanon,0.056149727780068215,-0.033740774336115775,0.5451080641082604,0.6585998432952438,-0.031954032241674035,0.8241592683964849,0.2909460072672728,Satellite,False,False,False
Wheat,Lesotho,0.3912640844359776,0.33328923533464205,0.005451345686744745,4.803086640257446,0.05141535963617605,0.0014893488833394905,0.1892009888883176,Satellite,True,False,True
Wheat,Libya,0.3749387141245081,0.3154090678506516,0.0071975934286850445,12.088687399578351,-0.014154635261160915,0.009875459460966646,0.7283567734626664,Satellite,True,False,True
Wheat,Lithuania,0.06909514166967912,-0.019562463885589576,0.47152596990919576,-1.0733015961172447,-0.03049693767505768,0.6465549477617933,0.22967679618889633,Satellite,False,False,False
Wheat,Luxembourg,0.29674065924803816,0.2264147251728419,0.029590689993684357,1.4869500709565011,0.036676941370943524,0.33841193100945577,0.014137758858641448,Satellite,False,True,True
Wheat,Madagascar,0.39767386177069153,0.33744124794776065,0.006285171028418601,2.499116346098338,0.009287551559307725,0.0024936573370357294,0.4576360776221434,Satellite,True,False,True
Wheat,Malawi,0.6931773636848397,0.663956160226253,4.09560128580941e-06,7.937374857148193,-0.016395405587820197,1.0564209481381135e-06,0.046261963900361434,Satellite,True,True,True
Wheat,Mali,0.6089019109589997,0.5716544739074758,5.236001789603325e-05,14.047080340004634,-0.01587726835655306,1.7690279341734577e-05,0.7057007983256192,Satellite,True,False,True
Wheat,Mauritania,0.5323723100909097,0.48783633962337725,0.00034194188660493873,15.850988320696578,0.0011817357934334298,0.00011214277041645555,0.9777564132511936,Satellite,True,False,True
Wheat,Mexico,0.73019739136881,0.7045019048325062,1.0616577055990805e-06,10.068255254558832,0.041162830347553706,5.815425972727286e-07,0.041589986236388016,Satellite,True,True,True
Wheat,Mongolia,0.14321006688577198,0.06161102563679777,0.19732437163028158,6.157025494651933,0.013662899018421937,0.11336205784531132,0.7001560610437799,Satellite,False,False,False
Wheat,Montenegro,0.04940203941326282,-0.07734435533163553,0.6838747778060092,-0.6504051740844208,0.01111820089265829,0.592710802635751,0.4420040342345233,Satellite,False,False,False
Wheat,Morocco,0.5437444040577317,0.5002914901584681,0.0002640499824283722,15.170748269468913,0.05916482633832829,0.0002302350192427232,0.34398234773766967,Satellite,True,False,True
Wheat,Mozambique,0.3141074249363819,0.24878432254937055,0.019084863859703403,3.180914210424919,0.015537020459897941,0.013277207130903823,0.35424377057671763,Satellite,True,False,True
Wheat,Myanmar,0.22224161876544524,0.14816939198120183,0.07142814114894444,-0.5901624122018705,-0.04091678979627883,0.5209129227834345,0.031205525540251834,Satellite,False,True,False
Wheat,Namibia,0.8104478571857449,0.7923952721558158,2.607061837302763e-08,13.63239453254411,-0.0030667553421619836,1.835067783293794e-07,0.9204697499144368,Satellite,True,False,True
Wheat,Nepal,0.3742423727599242,0.3146464082608693,0.007282233402498746,2.4486939646942076,-0.001339656432620539,0.002507982630013379,0.9138967003540086,Satellite,True,False,True
Wheat,Netherlands,0.21569162361554006,0.1409955877694009,0.07800311737021792,4.805825966784447,0.04844760597501738,0.12046019710597104,0.027242107829815652,Satellite,False,True,False
Wheat,New Caledonia,0.11982456177225309,-0.02687134459903806,0.46495986983735965,1.2706491206420099,-0.010853544433722924,0.26260681192723323,0.5971213945136153,Satellite,False,False,False
Wheat,New Zealand,0.33569670554543096,0.26926637609997395,0.016736477664648964,2.2035357875402313,-0.034585318819573545,0.05691278644154639,0.11058382252575258,Satellite,False,False,True
Wheat,Niger,0.2455611037402854,0.17370978028697914,0.051886305188677824,6.67301664079767,-0.004182537049177745,0.01989987030445511,0.9021326092129842,Satellite,True,False,False
Wheat,Nigeria,0.15464821374277815,0.07413851981351882,0.17135369904994563,3.010582743671171,0.024970480547476206,0.0850392165095684,0.2983540958501462,Satellite,False,False,False
Wheat,North Macedonia,0.06017465760094376,-0.02933251786563318,0.5211888208255736,1.2811365176819263,0.026908589005895982,0.5212635992527024,0.26174679327910094,Satellite,False,False,False
