,iso_a3,model,adj_r2,coef_sm_dt
87,DZA,Survey,0.24388292415178636,3.7208128213240053
88,ECU,Satellite,0.037836848932132794,-0.6692393906113742
89,ECU,Survey,0.036102355151831154,-2.2498687190437012
90,EGY,Satellite,0.17061448765671708,0.24263439886729915
91,EGY,Survey,0.0966263750169455,1.8011988438090414
92,ERI,Satellite,0.629911901447035,14.11924756807009
93,ERI,Survey,0.07485265292311459,10.033882921044793
94,ESP,Satellite,0.4302323702471617,7.947367658944843
95,ESP,Survey,0.19970119433037242,3.544354867282305
96,EST,Satellite,0.16735077821104127,-3.165003642139893
97,EST,Survey,0.08177737932084539,-7.347644319451705
98,ETH,Satellite,0.6220363724414357,6.566037590149851
99,ETH,Survey,0.056664111717729164,1.469416682257398
100,F206,Satellite,0.5755619368914456,11.398447093436033
101,F206,Survey,0.15730493782818236,9.423740674540722
102,FIN,Satellite,0.039627576706048315,-0.24146689322108042
103,FIN,Survey,0.043031736014734645,0.4438626718022685
104,FJI,Satellite,0.18505763503063438,3.5089239530475522
105,FJI,Survey,0.032578106971049806,-0.6764092925723888
106,FRA,Satellite,0.3767752470437628,3.0581109864587126
107,FRA,Survey,0.06860269513514376,1.2048724814111011
108,GAB,Satellite,0.06911495167017155,-1.792045688677316
109,GAB,Survey,-0.007646455325578977,-1.9028431078629886
110,GBR,Satellite,0.16097431107719234,3.511781376465949
111,GBR,Survey,0.03979146941590768,-7.48380690634156
112,GEO,Satellite,0.09557686268089598,1.466146298339575
113,GEO,Survey,-0.020621609573741238,1.6864106171968665
114,GHA,Satellite,0.24799374577523592,2.7005970256213394
115,GHA,Survey,0.15953434033535321,2.363413439386218
116,GIN,Satellite,0.1934691523608105,2.0268296705913835
117,GIN,Survey,0.04688854738083112,2.1118612921439537
118,GMB,Satellite,0.5331694965842148,6.89564833038801
119,GMB,Survey,0.14165542072454043,5.752801427352903
120,GNB,Satellite,0.12461848108838094,1.6051906319865792
121,GNB,Survey,0.032466197515194195,2.887335218818965
122,GNQ,Satellite,0.22474103261288342,0.6326220755830665
123,GNQ,Survey,0.393051680357897,-4.896823795550384
124,GRC,Satellite,0.26636767061524186,0.5226582640497819
125,GRC,Survey,0.015278046723087316,-1.2398682847470368
126,GTM,Satellite,0.25860657251350566,1.2581714066223324
127,GTM,Survey,0.00933751490939394,0.07379187973455
128,GUY,Satellite,0.018650076527622166,0.5287734117813109
129,GUY,Survey,-0.02911736088403553,-0.0262101709439649
130,HND,Satellite,0.37745958635026444,1.8043231389113452
131,HND,Survey,0.012563686588780033,0.21861053399089903
132,HRV,Satellite,0.27446530179284107,1.0801768210876639
133,HRV,Survey,0.09559616856873472,1.406430164405841
134,HTI,Satellite,0.37041942690132634,3.257749794260011
135,HTI,Survey,-0.027441416782499943,-0.298180159772859
136,HUN,Satellite,0.38493077399265413,2.7640245801423164
137,HUN,Survey,0.1579684409014001,3.9979830026174596
138,IDN,Satellite,0.2919767697077396,1.9869614980953791
139,IDN,Survey,0.08611725906505328,7.71327300605923
140,IND,Satellite,0.45849053796639994,3.8912213198241656
141,IND,Survey,0.1506435611746051,2.0933373782214733
142,IRL,Satellite,0.1318509011409638,0.334585229435242
143,IRL,Survey,0.005249960630881694,-4.070718689604214
144,IRN,Satellite,0.5078989567922539,9.923553300136051
145,IRN,Survey,0.10265765186291763,6.631976798869787
146,IRQ,Satellite,0.3648544675014449,18.762600604580832
147,IRQ,Survey,0.07402998374305231,3.252051375176758
148,ISR,Satellite,0.3671029912322323,6.939930703810248
149,ISR,Survey,0.044370644904228755,-3.052832550323342
150,ITA,Satellite,0.3071071649589238,2.665846093960781
151,ITA,Survey,0.10371007009337944,0.32208514348088896
152,JAM,Satellite,0.11937664417442075,1.0449558859500918
153,JAM,Survey,0.1395341030697397,1.3983654422024283
154,JOR,Satellite,0.2808073049006986,7.511068126499801
155,JOR,Survey,0.26895310004086925,12.496106909198607
156,JPN,Satellite,0.06803424943229289,-0.7361081919253709
157,JPN,Survey,0.08592384052298659,1.9591549662530785
158,KAZ,Satellite,0.5405918164094696,9.929281685278077
159,KAZ,Survey,0.13803589071313255,3.9788931561085614
160,KEN,Satellite,0.7169510345239455,11.346590811136858
161,KEN,Survey,0.022701553665736902,3.351748546908768
162,KGZ,Satellite,0.3973776364035871,6.218995262873713
163,KGZ,Survey,0.09196616376491584,1.70228837282017
164,KHM,Satellite,0.14918519534976785,0.1693223880251449
165,KHM,Survey,0.12827626509628443,-0.7122498237617124
166,KOR,Satellite,0.06756222273967773,0.6368552628481141
167,KOR,Survey,0.05443175709070699,0.15069086214452446
168,KWT,Satellite,0.20005864693703815,-6.83622366729176
169,KWT,Survey,0.03405830607270835,5.97242630432862
170,LAO,Satellite,0.3008749140502091,1.3109622130208025
171,LAO,Survey,0.020167386178520614,-1.1417216745583378
172,LBN,Satellite,-0.026847948524354362,0.19188917440422215
173,LBN,Survey,0.002112270630153438,-1.5474953487182583
174,LBR,Satellite,0.10224744820183408,3.7189391225614528
175,LBR,Survey,-0.00394327826386801,3.4507915647175387
176,LBY,Satellite,0.2790675734836065,15.237392153630879
177,LBY,Survey,-0.03266288076224971,-1.460743184271492
178,LKA,Satellite,0.09607148001157301,1.2133216713166224
179,LKA,Survey,0.05154485944602395,-1.658519658615337
180,LSO,Satellite,0.36036792450953814,6.75286417430188
181,LSO,Survey,0.033448846646740506,-0.15913351774940665
182,LTU,Satellite,0.06706982213785305,-1.1710358427971306
183,LTU,Survey,0.08720959863154817,2.1074648490776884
